2020-01-02,236
2020-01-03,237
2020-01-04,290
2020-01-05,221
2020-01-07,128
2020-01-09,293
2020-01-10,260
2020-01-11,204
2020-01-12,157
2020-01-13,180
2020-01-14,147
2020-01-16,228
2020-01-17,239
2020-01-18,193
2020-01-19,197
2020-01-20,189
2020-01-21,153
2020-01-22,58
2020-01-23,193
2020-01-24,232
2020-01-25,206
2020-01-26,234
2020-01-27,147
2020-01-28,135
2020-01-30,265
2020-01-31,280
2020-02-01,184
2020-02-02,168
2020-02-03,156
2020-02-04,112
2020-02-06,272
2020-02-07,211
2020-02-08,199
2020-02-09,146
2020-02-10,165
2020-02-11,92
2020-02-13,208
2020-02-14,225
2020-02-15,190
2020-02-16,208
2020-02-17,265
2020-02-18,150
2020-02-19,87
2020-02-20,196
2020-02-21,217
2020-02-22,173
2020-02-23,185
2020-02-24,212
2020-02-25,140
2020-02-27,271
2020-03-01,249
2020-03-02,175
2020-03-03,202
2020-03-04,85
2020-03-06,250
2020-03-07,214
2020-03-08,162
2020-03-09,178
2020-03-10,120
2020-03-11,95
2020-03-13,230
2020-03-14,208
2020-03-15,197
2020-03-16,147
2020-03-17,202
2020-03-18,157
2020-03-19,75
2020-03-20,201
2020-03-21,202
2020-03-22,208
2020-03-23,232
2020-03-24,187
2020-03-25,89
2020-03-27,304
2020-03-28,174
2020-03-29,222
2020-03-30,183
2020-03-31,175
2020-04-01,116
2020-04-03,342
2020-04-04,205
2020-04-05,199
2020-04-06,202
2020-04-07,198
2020-04-08,100
2020-04-10,281
2020-04-11,207
2020-04-12,219
2020-04-14,174
2020-04-15,233
2020-04-16,111
2020-04-17,293
2020-04-18,224
2020-04-19,218
2020-04-20,168
2020-04-21,139
2020-04-22,98
2020-04-24,265
2020-04-25,217
2020-04-26,232
2020-04-27,200
2020-04-28,233
2020-04-29,100
2020-05-02,276
2020-05-03,273
2020-05-04,242
2020-05-05,175
2020-05-06,85
2020-05-08,228
2020-05-09,209
2020-05-10,178
2020-05-11,213
2020-05-12,273
2020-05-13,137
2020-05-14,75
2020-05-15,226
2020-05-16,230
2020-05-17,85
2020-05-18,241
2020-05-19,239
2020-05-20,94
2020-05-22,246
2020-05-23,218
2020-05-24,192
2020-05-25,250
2020-05-26,188
2020-05-27,99
2020-05-29,259
2020-05-30,264
2020-05-31,237
2020-06-01,218
2020-06-02,158
2020-06-03,125
2020-06-05,248
2020-06-06,221
2020-06-07,164
2020-06-08,202
2020-06-09,192
2020-06-10,152
2020-06-11,72
2020-06-12,250
2020-06-13,267
2020-06-14,185
2020-06-15,182
2020-06-16,226
2020-06-17,148
2020-06-19,312
2020-06-20,223
2020-06-21,256
2020-06-22,227
2020-06-23,234
2020-06-24,108
2020-06-26,301
2020-06-27,248
2020-06-28,244
2020-06-29,227
2020-06-30,267
2020-07-01,144
2020-07-03,317
2020-07-04,314
2020-07-05,287
2020-07-06,315
2020-07-07,302
2020-07-08,214
2020-07-09,104
2020-07-10,282
2020-07-11,301
2020-07-12,299
2020-07-13,340
2020-07-14,237
2020-07-15,140
2020-07-17,323
2020-07-18,360
2020-07-19,273
2020-07-20,268
2020-07-21,281
2020-07-22,146
2020-07-24,363
2020-07-26,345
2020-07-27,351
2020-07-28,362
2020-07-29,123
2020-07-31,461
2020-08-01,326
2020-08-02,337
2020-08-03,591
2020-08-04,273
2020-08-05,292
2020-08-06,154
2020-08-07,391
2020-08-08,294
2020-08-09,331
2020-08-10,256
2020-08-11,321
2020-08-12,196
2020-08-14,474
2020-08-16,393
2020-08-18,393
2020-08-19,170
2020-08-21,316
2020-08-22,340
2020-08-23,324
2020-08-24,329
2020-08-25,318
2020-08-26,166
2020-08-28,369
2020-08-29,299
2020-08-30,298
2020-08-31,265
2020-09-01,311
2020-09-02,207
2020-09-03,57
2020-09-04,328
2020-09-05,283
2020-09-06,243
2020-09-07,205
2020-09-08,159
2020-09-09,122
2020-09-11,277
2020-09-12,270
2020-09-13,263
2020-09-14,185
2020-09-15,203
2020-09-16,131
2020-09-18,296
2020-09-19,216
2020-09-20,193
2020-09-21,205
2020-09-22,209
2020-09-23,164
2020-09-25,285
2020-09-26,193
2020-09-27,259
2020-09-28,266
2020-09-29,255
2020-09-30,234
2020-10-01,71
2020-10-02,267
2020-10-03,239
2020-10-04,249
2020-10-05,204
2020-10-06,221
